breed_id,breed_name,breed_image,breed_group,Selling Price,height,min_height_cm,max_height_cm,weight,min_weight_kg,max_weight_kg,adaptability_value,friendliness_value,trainability_value,health_and_grooming_needs_value,physical_needs_value,life_span,monthly_expences,min_monthly_ecxpences,max_monthly_expences,highlights
191,Labrador Retriever,https://www.dogtime.com/assets/uploads/2011/01/file_22988_labrador-retriever-460x290.jpg,Sporting Dogs,"LKR 80,000 - LKR 100,000",21 to 24 inches,53.34,60.96,55 to 80 pounds,24.95,36.29,3,5,4,4,5,10 to 12 years,"LKR 14,000 - LKR 19,000","LKR 14,000.00","LKR 19,000.00","The Labrador Retriever was bred to be both a friendly companion and a useful workingÿdog breed. Historically, they earned their keep as fishermen?s helpers: hauling nets, fetching ropes, and retrieving fish from the chilly North Atlantic."
192,Dorgi,https://www.dogtime.com/assets/uploads/2019/08/dorgi-mixed-dog-breed-pictures-cover-650x368.jpg,Mixed Breed Dogs,"LKR 45,000 - LKR 60,000",9 to12 inches,22.86,5.08,15 to 28 pounds,6.8,12.7,3,4,3,3,4,12 to 15 years,"LKR 12,000 - LKR 17,000","LKR 12,000.00","LKR 17,000.00","The Dorgi is a mixed breed dog. They are not purebreds like their Dachshund or Corgi parents. Queen Elizabeth II in England is on record as being a big fan of the Dorgi. Dorgis are intelligent and playful, but they also have a stubborn streak. They do well with children with early socialization, but both dogs and kids should always be supervised and taught how to play gently with one another. Common Dorgi colors include brown, black, chocolate, red, and white. A secondary color is sometimes present around the chin and chest area. The Dorgi's coat is medium in length, and usually described as dense and slightly wiry. The breed isn't known as being a huge shedder."
193,Pomeranian,https://www.dogtime.com/assets/uploads/2011/01/file_23122_pomeranian-460x290.jpg,Companion Dogs,"LKR 40,000 - LKR 55,000",7 to 12 inches,17.78,30.48,3 to 7 pounds,1.36,3.18,3,3,3,3,3,12 to 16 years,"LKR 11,000 - LKR 16,000","LKR 11,000.00","LKR 16,000.00","Descended from large sledÿdog breeds, the now-tiny Pomeranian has a long and interesting history. The foxy-faced dog, nicknamed ?the little dog who thinks he can,? is compact, active, and capable of competing inÿagilityÿand obedience or simply being a family friend."
194,German Wirehaired Pointer,https://www.dogtime.com/assets/uploads/2011/01/file_22978_german-wirehaired-pointer-300x189.jpg,Sporting Dogs,"LKR 70,000 - LKR 85,000",22 to 26 inches,55.88,66.04,60 to 70 pounds,27.22,31.75,3,3,4,3,5,12 to 14 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","The German Wirehaired Pointer was developed in the late 19th and early 20th centuries to be a versatileÿhuntingÿdog breed, a job at which they still excel today. They can hunt any game on any terrain and point and retrieve from land or water."
195,Saint Berdoodle,https://www.dogtime.com/assets/uploads/2019/08/saint-berdoodle-mixed-dog-breed-pictures-cover-650x368.jpg,Mixed Breed Dogs,"LKR 110,000 - LKR 130,000",15 to 30 inches,38.1,76.2,40 to 180 pounds,18.14,81.65,3,5,3,3,3,8 to 12 years,"LKR 17,000 - LKR 23,000","LKR 17,000.00","LKR 23,000.00","The Poodle's sense of adventure and higher energy, mixed with the Saint Bernard's inquisitiveness and laidback attitude, means you should be prepared to offer your dog outdoor exercise time every day, along with opportunities for nap time afterward. The coats of Saint Berdoodles can take after either parentwiry and curly for the Poodle, or longer and smooth or rough for the Saint Bernard. Saint Berdoodles are great with people of all ages, including kids.ÿThe only concern with these dogs is their size with very young children. Be sure to supervise interactions with very young children in case of accidental stepping or sitting. Two common color combinations of Saint Berdoodles are whiteandbrown and whiteandblack. They can also be red with white accents or white with red accents. These dogs do not enjoy being alone, so they would love the company of other pets and family members. Saint Berdoodles are generally pretty wellequipped for cold weather, especially if their coats are similar to Saint Bernards. They aren't quite as tolerant of high heat. Saint Berdoodles are mixed breed dogs. They are not purebreds like their Saint Bernard or Poodle parents."
196,Mountain Feist,https://www.dogtime.com/assets/uploads/2020/12/Mountain-Feist-dog-breed-pictures-cover.jpg,Terrier Dogs,"LKR 35,000 - LKR 50,000",10 to 22 inches,25.4,55.88,10 to 30 pounds,4.54,13.61,3,3,4,3,4,10 to 18 years,"LKR 12,000 - LKR 17,000","LKR 12,000.00","LKR 17,000.00","Mountain Feists would prefer to have several hours of exercise each day, but be sure to give them at least one, or else they may become destructive with that pentup energy. Mountain Feists are known for being lowmaintenance. They shed an average amount, yearround, and they do not need haircuts. They should only be bathed as needed. They generally do decently well with children; their sturdy physique and smalltomedium size makes them not too fragile. Also, they are not as aggressive as other terriers. Mountain Feists' coats are short and smooth. They come in every color and combination, including black, white, gray, silver, blue, tan, red, brown, cream, sable, brindle, pied, Isabella, and fawn. Because their prey drive is so strong, Mountain Feists are not recommended to add to a household with other animals, even cats, but especially small animals, like guinea pigs, rabbits, hamsters, mice, gerbils, etc. Mountain Feists can get along well with other dogs of equal or larger size."
197,Black Mouth Cur,https://www.dogtime.com/assets/uploads/2017/11/black-mouth-cur-dog-breed-pictures-cover-460x260.jpg,Working Dogs,"LKR 50,000 - LKR 65,000",16 to 25 inches,40.64,63.5,40 to 95 pounds,18.14,43.09,3,4,4,3,4,12 to 18 years,"LKR 13,000 - LKR 18,000","LKR 13,000.00","LKR 18,000.00","Energetic, fearless, and strong, the Black Mouth Cur is valued as an all-around working dog bred to help farmers and hunters in the rugged terrain of the southeastern United States.The breed can herd livestock, protect the home, and track game; although, these dogs also have a sensitive side that doesn?t respond well to harsh rebukes or punishment."
198,Bull Arab,https://www.dogtime.com/assets/uploads/2020/10/breeds-not-recognized-kennel-clubs-3-650x368.jpg,Hybrid Dogs,"LKR 60,000 - LKR 75,000",24 to 27 inches,60.96,68.58,60 to 95 pounds,27.22,43.09,3,2,3,3,4,12 to 15 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","The Bull Arab's coat is often predominantly cream or white with patches of brown, tan, black. Some Bull Arabs have brindled coats and may be darker. Bull Arabs can be prone to weight gain, especially if they don't get enough exercise, and they have high energy levels. Make sure your dog gets at least two good halfhour to hourlong walks per day with a few good, active play sessions and shorter walks mixed in. The Bull Arab requires an experienced human and are not the best choice for novice pet parents. The Bull Arab can be somewhat aggressive towards smaller animals, given their high prey drive. Cats and smaller dogs might not feel as athome if the Bull Arab decides to chase them around. Breed advocates and Bull Arab enthusiasts describe the breed as an intensely loyal family dog with a calm, gentle presence, which is absolutely true when they're trained and socialized properly. When properly trained, the Bull Arab makes an excellent family pet, even with children in the house. Be sure to teach your kids how to safely interact with a big dog. Smaller children can be easily injured if a Bull Arab gets a little too excited during playtime."
199,Labrabull,https://www.dogtime.com/assets/uploads/2019/08/Labrabull-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 75,000 - LKR 90,000",20 to 24 inches,50.8,60.96,45 to 90 pounds,20.41,40.82,3,4,4,4,5,10 to 14 years,"LKR 14,000 - LKR 19,000","LKR 14,000.00","LKR 19,000.00","Labrabulls love children. Sturdy, energetic, and tolerant, they are ideal playmates. That said, no dog of any size or breed should ever be left unsupervised with children. Because of their short sparse coats, Labrabulls aren't particularly suited for extreme weather. Labrabulls don't like being left alone for long periods and could display destructive behavior when isolated. Labrabulls are mixed breed dogs. They are not purebreds like their American Pit Bull Terrier or Labrador Retriever parents. The main colors of Labrabulls are black, white, gray, brown, yellow and silver.ÿThe vast majority of Labrabulls are black with white accents."
200,Sealyham Terrier,https://www.dogtime.com/assets/uploads/2011/01/file_23084_sealyham-terrier-300x189.jpg,Terrier Dogs,"LKR 55,000 - LKR 70,000",8 to 10 inches,20.32,25.4,22 to 24 pounds,9.98,10.89,4,4,3,3,4,12 to 14 years,"LKR 12,000 - LKR 17,000","LKR 12,000.00","LKR 17,000.00","The Sealyham Terrierÿdog breedÿwas originally bred to hunt otters, foxes, and badgers. Today, these clowns of the terrier family are primarily companion dogs and a good choice for novice pet parents."
201,Silky Terrier,https://www.purina.co.uk/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/australian_silky_terrier.jpg?itok=5tlr9UrZ,Companion Dogs,"LKR 45,000 - LKR 60,000",9 to 10 inches,22.86,25.4,8 to 10 pounds,3.63,4.54,3,3,4,3,4,12 to 15 years,"LKR 11,000 - LKR 16,000","LKR 11,000.00","LKR 16,000.00","The Silky Terrierÿdog breedÿexemplifies the expression ?small dog, big personality.? Weighing just eight to ten pounds when full grown, they?re tough and confident, perhaps because of their heritage as a hunter of small prey."
202,Brussels Griffon,https://www.dogtime.com/assets/uploads/2011/01/file_23098_brussels-griffon-460x290.jpg,Companion Dogs,"LKR 60,000 - LKR 75,000",7 to 8 inches,17.78,20.32,7 to 12 pounds,3.18,5.44,3,4,3,3,4,12 to 15 years,"LKR 10,000 - LKR 15,000","LKR 10,000.00","LKR 15,000.00","Originally bred to hunt and kill rats, this former Belgian street dog is a distinctive and unusualÿdog breed. Although the Brussels Griffon is small, they?re hardly a pampered pooch. Affectionate and lively, their intelligence, sense of humor, and air of self-importance keep them one step ahead of their people, who adore their pups anyway."
203,Entlebucher Mountain Dog,https://www.dogtime.com/assets/uploads/2011/01/file_23262_entlebucher-mountain-dog-460x290.jpg,Herding Dogs,"LKR 80,000 - LKR 95,000",16 to 20 inches,40.64,50.8,45 to 65 pounds,20.41,29.48,3,4,4,3,5,10 to 13 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","The Entlebucher Mountain Dogÿhas the independent spirit of other herding breeds, but still relishes spending time with their peopleÿ?ÿespecially if they give this dog a job to do. They can be territorial and will bark to warn you of visitors."
204,Pointer,https://www.dogtime.com/assets/uploads/2011/01/file_22992_pointer-460x290.jpg,Sporting Dogs,"LKR 60,000 - LKR 75,000",23 to 28 inches,58.42,71.12,45 to 75 pounds,20.41,34.02,2,5,5,3,5,12 to 15 years,"LKR 14,000 - LKR 19,000","LKR 14,000.00","LKR 19,000.00","Energetic and fun-loving, they?re well suited to active homes where they?ll can be loving members of the family. Apartment dwellers beware, though. These dogs need plenty of space to play and lots of daily exercise to keep their high energy in check. Otherwise, they may find their own fun by acting out with unwanted behaviors."
205,Cavapoo,https://www.purina.co.uk/sites/default/files/styles/nppe_breed_selector_500/public/2023-01/Cavapoo%20Hero%20Desktop.jpg?itok=bQDADTFK,Mixed Breed Dogs,"LKR 70,000 - LKR 85,000",9 to 14 inches,22.86,35.56,9 to 25 pounds,4.08,11.34,3,5,3,3,3,12 to 15 years,"LKR 12,000 - LKR 17,000","LKR 12,000.00","LKR 17,000.00","Cavapoo coats can beÿa variety of colors, including cream, fawn, chocolate, gold, chestnut, and white.ÿThey can sometimes be solid colors, but often they are chestnut and white, or they can even be tricolored. The Cavapoo loves everyone in the family and generally enjoys romping around with kids. That said, they are small and can be injured by children who play aggressively. Children should always be supervised with dogs and instructed on how to play safely. The Cavapoo is a mixedbreed dog.ÿ They are not purebreds like their Cavalier King Charles Spaniel or Poodle parents. Cavapoosÿusually have short, soft, and wavy or curly coats. They require weekly brushing; although, they are somewhat less prone to shedding, which is why some allergy sufferers do well with them."
206,Belgian Laekenois,https://www.purina.co.uk/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/BREED%20Hero_0012_belgian_shepherd_lakenois_0.jpg?itok=bdGkyMoW,Herding Dogs,"LKR 65,000 - LKR 80,000",22 to 26 inches,55.88,66.04,44 to 66 pounds,19.96,29.94,3,4,3,3,4,10 to 12 years,"LKR 14,000 - LKR 19,000","LKR 14,000.00","LKR 19,000.00","The Belgian Laekenois can make an excellent family dog, but they tend to do better with older children than they do younger ones. Your Belgian Laekenois might try to herd toddlers and nip at their heels! Although they are not heavy shedders, you should still brush out their hair on a weekly to biweekly basis with a brush meant for course fur. TheÿBelgian Laekenois coat comes in a variety of colors, usually fawn, mahogany, or red. Sometimes they have a black mask as well. Since they are a herding breed and are protective, the Belgian Laekenois might be best suited as the only animal in the house. They might try to herd or hunt down smaller dogs and cats. Belgian Laekenois dogs do not fare well being left alone for long periods of time, and they can get into destructive habits if they become bored. They can still do well in an apartment as long as they aren't left alone for hours on end. Be sure your dog gets at least one solidÿhalfhour to hourlong walk per day. Include a few good, active play sessions and shorter walks throughout the day, too."
207,JackAPoo,https://www.dogtime.com/assets/uploads/2020/02/jack-a-poo-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 45,000 - LKR 60,000",10 to 16 inches,25.4,40.64,13 to 25 pounds,5.9,11.34,4,5,4,2,5,12 to 15 years,"LKR 11,000 - LKR 16,000","LKR 11,000.00","LKR 16,000.00","The JackAPoo is a mixed breed dog. They are not purebreds like their Jack Russell Terrier or Poodle parents. JackAPoo coatÿcolors include white, black, brown, tan, gray, and blueand coats can be a mix of these colors. Noses are always black, and eyes are always brown. They can get along well with other dogs and cats, but if early socialization isn't possible, it may be best to stay a singlepet home. Also, it's best not to encourage interactions between small animals, like rodents, and JackAPoos, as it may be difficult to stifle their hunter instincts. JackAPoos can be great with kids, provided they are socialized at an early age. As with all dogs, it's a good idea to supervise interaction with young children. JackAPoos are at the top of the spectrum for energy and needing exercise. They should have at least 45 to 60 minutes of exercise every day. Early training and socialization is important for all dogs, but especially JackAPoos, given their blend of intelligence with a stubborn streak. This will help to curb their tendency to bark and desensitize them to children, other animals, and strangers. Grooming is fairly lowmaintenance, only necessitating brushing once a week and bathing as needed."
208,Broholmer,https://www.dogtime.com/assets/uploads/2019/09/Broholmer-dog-breed-pictures-cover.jpg,Companion Dogs,"LKR 90,000 - LKR 110,000",22 to 30 inches,55.88,76.2,90 to 150 pounds,40.82,68.04,3,4,3,4,3,8 to 12 years.,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","These dogs are wary towards strangers but will not be aggressive. They do not bark often, if at all. These large pups are fairly easy to groom. A good brushing per week will probably do, though they are not a good choice for allergy sufferers. The Broholmer has a calm and friendly demeanor and can get along with children of all ages but would be best suited with those who know how to play with them gently. The main colors of a Broholmer are typically brown or tan, sometimes with white markings or a black mask. Broholmers are prone to weight gain. Make sure your dog gets at least one good halfhour to hourlong walk per day with a few good, active play sessions and shorter walks mixedin. Because they tend to have shorter coats, the Broholmer isn't particularly suited for extreme weather."
209,Norwegian Elkhound,https://www.dogtime.com/assets/uploads/2011/01/file_23032_norwegian-elkhound-460x290.jpg,Hound Dogs,"LKR 80,000 - LKR 100,000",19 to 20 inches,48.26,50.8,45 to 50 pounds,20.41,22.68,4,4,4,3,4,12 to 15 years,"LKR 13,000 - LKR 18,000","LKR 13,000.00","LKR 18,000.00","The gorgeous Norwegian Elkhoundÿdog breed, with their wolf-like face, delights in life. Smart as can be, they also have a wonderful sense of humor. They?ll race you around the kitchen island, reverse directions when you do, and then howl for sheer fun."
210,Pharaoh Hound,https://www.dogtime.com/assets/uploads/2011/01/file_23038_pharaoh-hound-460x290.jpg,Hound Dogs,"LKR 90,000 - LKR 110,000",21 to 25 inches,53.34,63.5,45 to 55 pounds,20.41,24.95,4,5,4,3,3,11 to 14 years,"LKR 14,000 - LKR 19,000","LKR 14,000.00","LKR 19,000.00","The Pharaoh Hound is an ancientÿdog breedÿthat?s changed little since their development more than 5,000 years ago. They were the dogs of kings and may have hunted gazelles with pharaohs, hence their name. This loyal hunting companion later made their way to Malta, where they?re now the national dog."
211,Basset Fauve de Bretagne,https://www.purina.co.uk/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/basset_bleu_de_gascogne.jpg?itok=jrudaxAn,Hound Dogs,"LKR 50,000 - LKR 70,000",12 to 15 inches,30.48,38.1,25 to 35 pounds,11.34,15.88,3,4,3,3,3,12 to 15 years.,"LKR 12,000 - LKR 17,000","LKR 12,000.00","LKR 17,000.00","Basset Fauve de Bretagnes may be a little stubborn when it comes to training, but they respond well to gentle and consistent owners who know what they are doing. Their coats are wiry, dense, and harsh to the touch. These pups are not a good choice for those with allergies, and they are fairly high maintenance when it comes to grooming. The Basset Fauve de Bretagne has high energy, and it's unlikely they will be prone to weight gain unless they don't get adequate exercise. Because they are intelligent, mental stimulation is just as important as physical exercise for them. These dogs are generally friendly with everyone but will let you know if a stranger approaches the door. They're not meant to be watchdogs, but they are tough and will protect their families no matter what. The main colors of the Basset Fauve de Bretagne are fawn, wheaten, and red wheaten."
212,Canaan Dog,https://www.purina.co.uk/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/canaan.jpg?itok=xRdzQ2O5,Herding Dogs,"LKR 60,000 - LKR 80,000",19 to 24 inches,48.26,60.96,35 to 55 pounds,15.88,24.95,4,3,3,3,4,12 to 15 years,"LKR 11,000 - LKR 16,000","LKR 11,000.00","LKR 16,000.00","The Canaan Dog is a pariah dog that has survived in the desert region of Israel for thousands of years. Believed to be theÿdog breedÿthat the Hebrews used in biblical times toÿherd and guardÿtheir flocks and encampments, some are still used by Bedouins and Druse for this purpose today."
213,Pocket Beagle,https://www.dogtime.com/assets/uploads/2011/01/file_23234_pocket-beagle-460x290.jpg,Hound Dogs,"LKR 40,000 - LKR 60,000",7 to 12 inches,17.78,30.48,7 to 15 pounds,3.18,6.8,3,5,4,3,4,10 years,"LKR 10,000 - LKR 15,000","LKR 10,000.00","LKR 15,000.00","Smaller than the averageÿBeagleÿdog breed, these compact scenthounds are merry and fun-loving. But the Pocket Beagle is still a hound and, as such, requires patience and creative training techniques to overcome their sometimes stubborn nature."
214,Small Munsterlander Pointer,https://www.dogtime.com/assets/uploads/2011/01/file_23256_small-munsterlander-pointer-460x290.jpg,Sporting Dogs,"LKR 70,000 - LKR 90,000",19 to 22 inches,48.26,55.88,40 to 60 pounds,18.14,27.22,3,5,4,3,5,12 to 14 years,"LKR 13,000 - LKR 18,000","LKR 13,000.00","LKR 18,000.00","This Small Munsterlander Pointerÿdog breedÿis affectionate with family, kids, and other dogs alike. The excel at water retrieving, and if you?re not a hunter, you?ll need to find other ways to give them physical and mental exerciseÿ?ÿthey need plenty of both."
215,FlatCoated Retriever,https://www.dogtime.com/assets/uploads/2011/01/file_22974_flat-coated-retriever-300x189.jpg,Sporting Dogs,"LKR 75,000 - LKR 95,000",22 to 24 inches,55.88,60.96,55 to 70 pounds,24.95,31.75,3,5,4,3,5,10 to 12 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","The Flat-Coated Retriever was originally developed as aÿdual-purpose retrieverÿof game on land and from water, and they?re still popular for that purpose today.They also compete in obedience, rally, and agility, are super therapy dogs, and are ideal companions for people who are looking for an active dog breed. "
216,Korean Jindo Dog,https://www.dogtime.com/assets/uploads/2015/08/jindo-460x271.png,Sporting Dogs,"LKR 85,000 - LKR 105,000",19 to 21 inches,48.26,53.34,35 to  60 pounds,15.88,27.22,3,4,3,3,4,12  15 years,"LKR 14,000 - LKR 19,000","LKR 14,000.00","LKR 19,000.00","No swimming! Jindos are known to be apprehensive and even downright fearful of water. These dogs do not make great water companions. Some owners have even reported their Jindos being afraid of rain. A Jindo will allow itself to be bathed by an owner it trusts, but almost begrudgingly."
217,Chow Shepherd,https://www.dogtime.com/assets/uploads/2020/01/chow-shepherd-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 80,000 - LKR 100,000",22 to 26 inches,55.88,66.04,45 to 90 pounds,20.41,40.82,3,3,3,3,5,12 to 15 years,"LKR 12,000 - LKR 17,000","LKR 12,000.00","LKR 17,000.00","Chow Shepherds have high energy levels. One hour daily of rigorous exercise is a good starting point. Hiking and other adventurous activities are strongly recommended. Chow Shepherds are mixed breed dogs. They are not purebreds like their Chow Chow or German Shepherd Dog parents. If a Chow Shepherd has had plenty of exposure to other dogs, cats, and small animals and has beenÿtrained how to interact with them, they'll be friendly with other pets, too. The main colors of Chow Shepherds are fawn, cream, gray, red, brown, and black. They generally have a beautiful blend of two or more colors. Chow Shepherds will most likely have long, dense coats and are not a good choice for allergy sufferers.ÿRegular daily brushing and extra brushing during shedding season with a deshedding brush may be needed. Chow Shepherdsÿare highly trainable and thrive on positive reinforcement. Do not leave them alone for long periods, as they can get separation anxiety easily The Chow Shepherd makes a great addition to a big family with older kids who know how to play nicely with dogs.ÿThis pup will not tolerate rough play from small kids."
218,Boston Boxer,https://www.dogtime.com/assets/uploads/2020/01/boston-boxer-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 65,000 - LKR 85,000",15 to 23 inches,38.1,58.42,22 to 55 pounds,9.98,24.95,3,4,3,4,4,12 to 15 years,"LKR 13,000 - LKR 18,000","LKR 13,000.00","LKR 18,000.00","Boston Boxers are known to be a good choice for families with children. It's important that children learn how to properly approach and play with a small to mediumsized dog. Always supervise playtime. They usually have short coats, and they're generally considered to be a good choice for allergy sufferers. A weekly brushing with regular bathing should keep your Boston Boxer's coat shiny and healthy. When it comes to other pets, Boston Boxers can get along with other animals if they are introduced slowly and calmly, and early socialization will help this go smoothly. The main colors of Boston Boxers are black, brown, fawn, blue, and white. Sometimes their coats are solid, and sometimes they have a mix of colors, like in a pied or brindle pattern. The Boston Boxer is a highly energetic mixed breed. If left alone for too long or without any sort of stimulation, this energy can manifest in unwanted destructive behaviors. Make sure your dog gets at least one good halfhour to hourlong walk per day with a few good, active play sessions and shorter walks mixed in. Boston Boxers are mixed breed dogs. They are not purebreds like their Boston Terrier or Boxer parents."
219,Cardigan Welsh Corgi,https://www.dogtime.com/assets/uploads/2011/11/file_23294_cardigan-welsh-corgi-460x290.jpg,Herding Dogs,"LKR 75,000 - LKR 95,000",10 to 24 inches,25.4,60.96,25 to 38 pounds,11.34,17.24,4,4,4,3,3,12 to 15 years,"LKR 13,000 - LKR 18,000","LKR 13,000.00","LKR 18,000.00","The Cardigan Welsh Corgi is the older of the two Corgiÿdog breeds, with dogs of this type believed to have existed in Wales for more than 3,000 years.Throughout history, people used these dogs to drive cattle to market. These days, they mostly love to spend time with their families and are active, fun-loving playmates for school-age children."
220,Cockapoo,https://www.dogtime.com/assets/uploads/2011/01/file_23218_cockapoo-dog-breed.jpg,Hybrid Dogs,"LKR 70,000 - LKR 90,000",10 to 15 inches,25.4,38.1,6 to 19 pounds,2.72,8.62,4,5,3,2,4,12 to 15 years,"LKR 12,000 - LKR 17,000","LKR 12,000.00","LKR 17,000.00","An adorable, small dog with the personality of a big clown, the Cockapoo is perhaps the first of the ?designer dogs? (not a purebredÿdog breed), dating back to the 1960s, rather than to just a few years ago."
221,Aussiedoodle,https://www.dogtime.com/assets/uploads/2019/07/aussiedoodle-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 80,000 - LKR 100,000",10 to 15 inches,25.4,38.1,25 to 70 pounds,11.34,31.75,3,4,4,4,5,10 to 13 years,"LKR 14,000 - LKR 19,000","LKR 14,000.00","LKR 19,000.00","Their coats can be a variety of colors typically seen in Australian Shepherds, like blue merle, red merle, black and red tri, black and tan (AKA ""phantom""), parti, sable, or even a solid color in rare cases. Some Aussiedoodles have wavier coats, while others have tighter curls like their Poodle parents. Aussiedoodles with shorter hair may be better for allergy sufferers, but it is not a guarantee. Aussiedoodles are smart dogs and require mental stimulation. If they become bored, they may act out in destructive ways. Aussiedoodles are mixed breed dogs. They are not purebreds like their Australian Shepherd or Poodle parents. Many Aussiedoodle owners claim that they are hypoallergenic dogs and may be better for allergy sufferers, though no dog is completely hypoallergenic."
222,Huskita,https://allpaws.com/wp-content/uploads/2023/09/Akita.jpg,Mixed Breed Dogs,"LKR 90,000 - LKR 110,000",22 to 25 inches,55.88,63.5,50 to 75 pounds,22.68,34.02,3,3,4,3,5,10 to 13 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","The main colors of Huskitas are white, black and cream, or tan. They can be solid, but are often a mix of these colors. Huskitas are mixed breed dogs. They are not purebreds like their Siberian Husky or Akita parents. Huskitas are protective and loyal with kids, but they can snap if they're mistreated. Always supervise playtime and teach kids to interact with dogs properly. These dogs may prefer homes with older children or adults. Huskitas are prone to weight gain, and they have high energy levels. Hiking for 90 minutes per day is a good starting point. They thrive in the outdoors but need to live indoors. Akitas are better being the only dog in a household, while Huskies are pack animals. It's the luck of the draw to find out which way your Huskita will go when it comes to other animals. Huskitas are generally not recommended for people with allergies. They tend to shed quite a bit and will require a few good brushes per week."
223,German Sheprador,https://www.dogtime.com/assets/uploads/2019/09/german-sheprador-mixed-dog-breed-pictures-cover-650x368.jpg,Mixed Breed Dogs,"LKR 75,000 - LKR 95,000",20 to 27 inches,50.8,68.58,60 to 95 pounds,27.22,43.09,3,5,4,4,5,10 to 12 years,"LKR 13,000 - LKR 18,000","LKR 13,000.00","LKR 18,000.00","The main colors of German Shepradors are black, white, red, cream, blue, and grey. Sometimes their coats are solid, and sometimes they have a mix of colors. German Shepradors make excellent family companions and watchdogs. Protective in nature, they will alert when strangers approach. Like all Retrievers, the German Sheprador is mouthy, and they're happiest when they have something, anything, to carry in their mouth Do not leave them alone for long periods. They can easily become board, depressed, and frustrated, which will result in unwanted behaviors. The German Sheprador is a mixed breed dog. They are not purebreds like their German Shepherd Dog or Labrador Retriever parents. Many German Shepradors absolutely love to run and play in the snow. Their double coats also help to keep them cool during hot summer months. While they are not a good choice of dog for allergy sufferers, their coats are pretty easy to care for. A good brushing per week will probably do the job."
224,Afador,https://www.dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 80,000 - LKR 100,000",20 to 29 inches,50.8,73.66,50 to 75 pounds,22.68,34.02,2,3,4,3,4,10 to 12 years,"LKR 14,000 - LKR 19,000","LKR 14,000.00","LKR 19,000.00","Afadors are mixed breed dogs. They are not purebreds like their Afghan Hound or Labrador Retriever parents. The most common Afador colors include black, brown, gray, red, and fawn. The Afador does much better in colder climates rather than warm ones. Even so, kit your Afador out with a suitable winter coat if temperatures really drop. As an athletic mixed breed, the Afador will love to play fetch and folic in a safe offleash environment. If you have a fencedin yard, be warned that this is a dog that can easily leap over a six foot fence, so plan accordingly. Shedding will definitely occur! Lots of grooming is required to keep the breed's coat in good conditionconsider twice weekly brushing to be the minimum. Due to the breed's intelligence and stubborn streak, you'll want to make sure that both the dog and your children are properly trained to be around each other from day one."
225,Bullmatian,https://www.dogtime.com/assets/uploads/2019/07/bullmation-mixed-dog-breed-pictures-cover-650x368.jpg,Mixed Breed Dogs,"LKR 60,000 - LKR 80,000",11 to 24 inches,27.94,60.96,41 to 65 pounds,18.6,29.48,2,4,3,3,4,8 to 12 years,"LKR 12,000 - LKR 17,000","LKR 12,000.00","LKR 17,000.00","Bullmatians are relatively low maintenance when it comes to grooming, requiring coat brushings only about three times a week. In general, Bullmatians prefer a moderate climate. They don't have high tolerance for very hot and very cold environments, and you may need a doggy jacket in winter and sunscreen in the summer. Bullmatians tend to have high energy. They'll happily join you for a jog or run. While Bullmatians are super loyal dogs, they can be prone to bouts of stubbornness. They need patient and authoritative training. Bullmatians are mixed breed dogs. They are not purebreds like their Dalmatian or Bulldog parents. The Bullmatian has a spotted coat. Although, unlike Dalmatians, the spots will not always be blackcolors like brown, orange, fawn, red, and brindle are frequently seen."
226,Labsky,https://www.dogtime.com/assets/uploads/2019/07/labsky-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 85,000 - LKR 105,000",20 to 28 inches,50.8,71.12,40 to 60 pounds,18.14,27.22,2,4,4,3,5,10 to 12 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","Labskies were first bred intentionally in the 1990s. The Labsky has a double coat that requires daily brushing. Labskies can have a high prey drive and might be best suited to homes with pets of the same size. The Labsky is a medium to largesized dog with high energy. Their fur can come in white, black, yellow, brown, red and grey, and many times the coat will be a mix of colors. The Labsky is a mixed breed dog. They are not purebreds like their Labrador Retriever or Siberian Husky parents. Labskies tend to love people and human contact. They are usually very friendly."
